"","Name_of_Organisation","Type","Country","Divestment_Type","More_Info","Policy"
"685"," 'http://www.merckff.org/' Merck Family Fund","Philanthropic Foundation","USA","Full","'http://divestinvest.org/philanthropy/#/signatories/merck-family-fund'",1
"686"," 'www.mercyworld.org' Mercy International Association ","Faith-based Organization","Ireland","Partial","'https://docs.google.com/spreadsheets/d/1ftIRg5MMZGCXJyOQd9pYJXJw80IZkutjDFCwaIXP_lo/edit#gid=0'",1
"687"," 'http://www.methodist.org.uk/' Methodist Church of Britain","Faith-based Organization","UK","Coal and Tar Sands Only","'http://brightnow.org.uk/news/methodist-conference-votes-overwhelmingly-to-disinvest-from-coal-and-tar-sands/'",1
"688"," 'http://www.mnys.org/' Metropolitan New York Synod, Evangelical Lutheran Church in America","Faith-based Organization","USA","Full","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"689"," 'http://www.mfenterprises.com/' Meyer Family Enterprises","Philanthropic Foundation","USA","Full","'http://divestinvest.org/philanthropy/signatories/#/signatories/meyer-family-enterprises'",1
"690","Miami Monthly Friends (Quaker) Meeting - Waynesville, OH","Faith-based Organization","USA","Full","",1
"691","Miami Quarterly Friends (Quaker) Meeting of Ohio Valley, OH","Faith-based Organization","USA","Full","'http://www.quaker.org/ovym/index_files/MiamiQ.htm'",1
"692","Mid Somerset Quaker Area Meeting","Faith-based Organization","UK","Full","",1
"693","Mid Thames Quaker Area Meeting","Faith-based Organization","UK","Full","",1
"694"," 'http://www.middlebury.edu/#story612467' Middlebury College","Educational Institution","USA","Full","'https://www.theguardian.com/commentisfree/2019/jan/30/the-key-to-winning-victories-against-big-oil-perseverance'",1
"695"," 'https://millhillmissionaries.com/' Mill Hill Missionaries (British Region)","Faith-based Organization","UK","Full","'https://brightnow.org.uk/news/faith-institutions-launch-new-wave-of-divestment/'",1
"696"," 'https://millhillmissionaries.com/' Mill Hill Missionaries (British Region)","Faith-based Organization","United Kingdom","Fossil Free","",1
"697","Millamac Super Fund","Pension Fund","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987'",1
"698"," 'https://mn.gov/sbi/' Minnesota State Board of Investments","Pension Fund","USA","Coal Only","'http://www.citypages.com/news/minnesota-quietly-decides-to-divest-from-coal/570995391'",1
"699"," 'http://sspsworld.globat.com/' Mission Congregation of the Servants of the Holy Spirit","Faith-based Organization","Global","Full","'https://www.ncronline.org/news/environment/faith-pledges-push-global-fossil-fuel-divestments-over-11-trillion'",1
"700"," 'http://www.scheut.be/' Missionarissen van Scheut","Faith-based Organization","Belgium","Full","'https://catholicclimatemovement.global/divest-and-reinvest/'",1
"701"," 'https://mficgen.org/' Missionary Franciscan Sisters of the Immaculate Conception","Faith-based Organization","England","Full","",1
"702","Missionary Sisters of St Columban ","Faith-based Organization","Ireland","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"703"," 'http://columban.org/' Missionary Society of St. Columban","Faith-based Organization","USA","","'https://docs.google.com/document/d/1NGFz0NiTR6ylFmmWwHpeyGfCvAI-KhnsR2qQkXsPE4g/edit'",1
"704"," 'http://mizefamilyfoundation.org/' Mize Family Foundation","Philanthropic Foundation","USA","Full","'http://divestinvest.org/philanthropy/#/signatories/merck-family-fund'",1
"705"," 'http://www.monash.edu/' Monash University","Educational Institution","Australia","Coal Only","'http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987'",1
"706","Monastery of St Alphonsus","Faith-based Organization","Ireland","Fossil Free","",1
"707"," 'http://www.monmouthshire.gov.uk/' Monmouthshire County Council","Government","UK","Full","",1
"708"," 'http://montreal.quaker.ca/' Montreal Quakers","Faith-based Organization","Canada","Full","",1
"709","Montreuil","Government","France","Full","'http://www.montreuil.fr/uploads/tx_egestiondoc/PV-CM-4-11-2015.pdf'",1
"710","Moomintroll Super Fund","Pension Fund","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987'",1
"711"," 'http://www.morningstar-foundation.org/' Morning Star Foundation","Philanthropic Foundation","USA","Full","'http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust'",1
"712"," 'http://www.mountalexander.vic.gov.au/' Mount Alexander Shire Council","Government","Australia","Full","'http://350.org.au/news/castlemaines-council-divests-from-fossil-fuels/'",1
"713"," 'http://www.mthollyquakers.org/' Mount Holly, New Jersey","Faith-based Organization","USA","Full","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"714"," 'http://www.mvuu.org/' Mountain Vista Unitarian Universalist Congregation, AZ","Faith-based Organization","USA","Fossil Free","'http://gofossilfree.org/commitments/'",1
"715"," 'http://www.mcl.it/' Movimento Cristiano Lavoratori","Faith-based Organization","Italy","Full","",1
"716","Mullum Trust","Philanthropic Foundation","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge/c1t44'",1
"717"," 'https://multco.us/' Multnomah County, OR","Government","USA","Full","'http://portlandtribune.com/sl/274399-150205-city-county-join-world-fossil-fuels-divestment-movement-'",1
"718","Mundi Farm Super Fund","Pension Fund","Australia","Full","'https://www.divestinvestaustralia.org.au/commitments'",1
"719"," 'https://www.munichre.com/en/homepage/index.html' Munich Re","For Profit Corporation","Germany","Coal Only","'https://cleantechnica.com/2018/08/06/munich-re-will-limit-investments-in-companies-that-derive-profits-from-coal/'",1
"720"," 'https://www.nn-group.com/Home.htm' NN Group Insurance","For Profit Corporation","Netherlands","Coal Only","'https://drive.google.com/drive/u/0/folders/0B-va3no-oMaBRXdMdFBSV2JMRUU'",1
"721"," 'https://macleanfarmsltd.com/' NR McLean Farms Ltd","For Profit Corporation","Canada","Full","'From Divest Invest '",1
"722"," 'http://www.nuigalway.ie/' NUI Gallway","Educational Institution","Ireland","Full","'http://su.nuigalway.ie/nui-galway-commits-fossil-fuel-divestment/'",1
"723","Nardoo Super Fund","Pension Fund","Australia","Full","'https://www.divestinvestaustralia.org.au/commitments'",1
"724"," 'http://www.naropa.edu/' Naropa University","Educational Institution","USA","Full","",1
"725"," 'http://t.co/QrSqnD69bo?amp=1' National Employment Savings Trust","Pension Fund","United Kingdom","Coal and Tar Sands Only","'https://www.nestpensions.org.uk/schemeweb/nest/nestcorporation/news-press-and-policy/press-releases/Nest-going-net-zero-to-support-green-recovery.html'",1
"726"," 'http://nationalserviceaeu.org/' National Ethical Service","NGO","USA","Full","'http://gofossilfree.org/commitments/'",1
"727"," 'https://www.peacecorps.gov/' National Peace Corps Association","NGO","Global","Full","'http://us13.campaign-archive1.com/?u=da0844e699a37a1d6718a0345&amp;id=67682c3f03&amp;e=80530247a3'",1
"728"," 'http://www.urcscotland.org.uk/' National Synod of Scotland","Faith-based Organization","UK","Full","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"729"," 'http://www.nteu.org.au/' National Tertiary Education Union","Other","Australia","Full","'http://www.nteu.org.au/article/MEDIA-RELEASE%3A-NTEU-to-divest-from-fossil-fuels-and-invest-in-renewable-energy-18091'",1
"730"," 'https://www.nationaltrust.org.uk' National Trust","NGO","UK","Full","'https://www.nationaltrust.org.uk/press-release/national-trust-announces-it-will-divest-from-all-fossil-fuel-companies'",1
"731"," 'http://www.nuigalway.ie/' National University of Ireland Galway","Educational Institution","Ireland","Full","'http://campus.ie/surviving-college/college-news/nuig-officially-commits-fossil-fuel-divestment'",1
"732"," 'https://www.natixis.com/natixis/jcms/j_6/en/home' Natixis Investment Bank","For Profit Corporation","France","Coal Only","'https://www.natixis.com/natixis/upload/docs/application/pdf/2016-07/160708_coal_policy_en.pdf'",1
"733"," 'https://www.nrdc.org/' Natural Resources Defense Council","NGO","USA","Full","",1
"734","Neranie Super Fund","Pension Fund","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987'",1
"735"," 'https://www.nest-info.ch/home/' Nest Sammelstiftung / Nest Fondation Collective","Pension Fund","Switzerland","Fossil Free","",1
"736"," 'https://www.netrv.be/' Netwerk Rechtvaardigheid en Vrede - Ecokerk","Faith-based Organization","Belgium","Full","'https://catholicclimatemovement.global/divest-and-reinvest/'",1
"737","Nevada Super Fund","Pension Fund","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987'",1
"738"," 'https://www.neb.com/' New England Biolabs Foundation","Philanthropic Foundation","USA","Full","'http://divestinvest.org/philanthropy/signatories/#/signatories/new-england-biolabs-foundation-2'",1
"739","New Priorities Foundation","Philanthropic Foundation","USA","Full","'http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust'",1
"740"," 'http://www.newprogs.org/' New Progressive Alliance","NGO","USA","Fossil Free","'http://www.newprogs.org/the_environment_under_the_democratic_republican_uniparty'",1
"741"," 'http://comptroller.nyc.gov/' New York City Employees Retirement System","Pension Fund","USA","Full","'https://www.theguardian.com/us-news/2018/jan/10/new-york-city-plans-to-divest-5bn-from-fossil-fuels-and-sue-oil-companies'",1
"742"," 'http://www.nyac.com/' New York Conference of The United Methodist Church","Faith-based Organization","USA","Full","'http://www.pnwumc.org/news/new-york-and-pacific-northwest-annual-conferences-vote-to-divest-from-fossil-fuels-northwest-united-methodist-foundation-will-also-divest/'",1
"743"," 'http://www.nyqm.org/' New York Quarterly Meeting","Faith-based Organization","USA","Full","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"744"," 'https://www.osc.state.ny.us/common-retirement-fund' New York State Common Retirement Fund","Pension Fund","USA","Full","'https://www.nytimes.com/2020/12/09/nyregion/new-york-pension-fossil-fuels.html'",1
"745"," 'https://www.nzno.org.nz' New Zealand Nurses Organisation","Other","New Zealnd ","Full","",1
"746"," 'https://www.nzsuperfund.co.nz/' New Zealand Superannuation fund","Pension Fund","New Zeland","Partial","'http://www.radionz.co.nz/news/national/316026/super-fund-to-ditch-fossil-fuel-investments'",1
"747"," 'http://www.ncl.ac.uk/' Newcastle University","Educational Institution","UK","Full","'http://www.theguardian.com/environment/2016/may/25/universities-of-newcastle-and-southampton-join-fossil-fuel-divestment-push'",1
"748"," 'http://www.newman.ac.uk/' Newman University","Educational Institution","UK","Full","'https://peopleandplanet.org/blog/2017-08-17/fossil-fuel-divestment-state-sector'",1
"749"," 'http://newtownfriendsmeeting.org/' Newtown Monthly Quaker Meeting, PA","Faith-based Organization","USA","Full","",1
"750"," 'http://www.niacommunity.org/' Nia Community Fund","Philanthropic Foundation","USA","Full","'http://divestinvest.org/philanthropy/#/signatories/nia-community-fund'",1
"751"," 'http://www.nsrcfund.org/' Nisei Student Relocation Commemorative Fund","Philanthropic Foundation","USA","Partial","",1
"752"," 'http://www.nomadelfia.it/' Nomadelfia","Faith-based Organization","Italy","Fossil Free","",1
"753"," 'http://www.rtnf.org/' Noorda Foundation","Philanthropic Foundation","USA","","'http://www.rtnf.org/single-post/2016/02/04/RTNF-Divests-from-Fossil-Fuels'",1
"754"," 'https://www.nordea.com/' Nordea Bank AB","For Profit Corporation","Sweden","Partial","'http://www.bloomberg.com/news/articles/2015-05-05/nordic-funds-cut-u-s-oil-coal-investments-on-climate-concern'",1
"755"," 'https://nordicenterprisetrust.wordpress.com/' Nordic Enterprise","Philanthropic Foundation","UK","","'http://divestinvest.org/philanthropy/signatories/#/signatories'",1
"756"," 'http://www.norfolkandwaveneyquakers.org.uk/' Norfolk and Waveney Quaker Area Meeting","Faith-based Organization","UK","Full","",1
"757"," 'http://www.normanfdn.org/' Norman Foundation","Philanthropic Foundation","USA","Full","",1
"758","North East Thames Quaker Trust","Faith-based Organization","United Kingdom","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"759"," 'https://northstarfund.org/' North Star Fund","Philanthropic Foundation","USA","Full","'http://divestinvest.org/philanthropy/#/signatories/north-star-fund'",1
"760"," 'http://www.newildernesstrust.org/' Northeast Wilderness Trust","NGO","USA","Full","'http://www.newildernesstrust.org/2015/02/19/were-divested/'",1
"761"," 'http://northerncollege.co.uk/' Northern College (URC and Congregational)","Faith-based Organization","UK","Full","'https://urc.org.uk/latest-news/3310-northern-college-makes-commitment-to-divest-from-fossil-fuels.html'",1
"762"," 'http://www.northernyearlymeeting.org/' Northern Yearly Meeting – Quakers in the Upper Midwest","Faith-based Organization","USA","Full","'http://www.northernyearlymeeting.org/article/epistle-annual-session-2015'",1
"763"," 'https://www.northland.edu/' Northland College","Educational Institution","USA","Full","'https://www.northland.edu/news/northland-college-divests-fossil-fuels/'",1
"764"," 'https://www.northumbria.ac.uk' Northumbria University","Educational Institution","UK","Full","'https://www.northumbria.ac.uk/about-us/news-events/news/2018/08/ethical-investment-at-northumbria-university/'",1
"765"," 'http://www.norwayuu.org/' Norway Unitarian Universalist Church Maine","Faith-based Organization","USA","Full","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"766"," 'https://www.norwich.gov.uk/site/' Norwich City Council ","Government","UK","Partial","'https://cmis.norwich.gov.uk/Live/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=qtpqsrpb77sjoYkNAZfYToFEksjH2dgfIEKR0BWZteucHb4tfzapUw%3d%3d&amp;rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&amp;mCTIbCubSFfXsDGW9IXnlg%3d%3d=hFflUdN3100%3d&amp;kCx1AnS9%2fpWZQ40DXFvdEw%3d%3d=hFflUdN3100%3d&amp;uJovDxwdjMPoYv%2bAJvYtyA%3d%3d=ctNJFf55vVA%3d&amp;FgPlIEJYlotS%2bYGoBi5olA%3d%3d=NHdURQburHA%3d&amp;d9Qjj0ag1Pd993jsyOJqFvmyB7X0CSQK=ctNJFf55vVA%3d&amp;WGewmoAfeNR9xqBux0r1Q8Za60lavYmz=ctNJFf55vVA%3d&amp;WGewmoAfeNQ16B2MHuCpMRKZMwaG1PaO=ctNJFf55vVA%3d'",1
"767","Nottingham Trent University","Educational Institution","UK","Full","'https://peopleandplanet.org/university/129465/ul16'",1
"768"," 'http://www.noyafieldsfamily.org/' Noya Fields Family Charitable Funds","Philanthropic Foundation","USA","Full","'https://www.prnewswire.com/news-releases/noya-fields-family-charitable-funds-to-join-fossil-fuel-divestiture-movement-300582121.html'",1
"769","Nuestra Señora del Perpetuo Socorro","Faith-based Organization","Spain","Full","",1
"770","Oasis Churches and Global Charity","Faith-based Organization","United Kingdom","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"771","Odense City Council","Government","Denmark","Coal and Tar Sands Only","'http://www.odense.dk/politik/dagsordner-og-referater/odense-byrad?DagsordenID=121'",1
"772"," 'http://www.oeko-logia.org/' Oekologia","Faith-based Organization","France","Full","'https://www.ncronline.org/news/environment/faith-pledges-push-global-fossil-fuel-divestments-over-11-trillion'",1
"773"," 'http://www.quaker.org/ovym/' Ohio Valley Yearly Meeting, Society of Friends (Quakers), OH","Faith-based Organization","USA","Full","'http://www.quaker.org/ovym/index_files/News.htm'",1
"774"," 'https://www.oikocredit.be/nl/' Oikocredit Belgium","Faith-based Organization","Belgium","Full","'https://catholicclimatemovement.global/divest-and-reinvest/'",1
"775"," 'http://okeanos-foundation.org/' Okeanos Foundation for the Sea","Philanthropic Foundation","USA","","'http://divestinvest.org/philanthropy/signatories/#/signatories'",1
"776"," 'http://www.oldhaverford.org/' Old Haverford Monthly Meeting","Faith-based Organization","USA","Full","",1
"777","Ong Ambiental Cima","Faith-based Organization","Argentina","Fossil Free","",1
"778"," 'http://www.oregonmetro.gov/' Oregon Metro","NGO","USA","Full","'https://drive.google.com/drive/u/1/folders/0B-va3no-oMaBRXdMdFBSV2JMRUU'",1
"779"," 'http://oregonstate.edu/' Oregon State University","Educational Institution","USA","Full","'http://www.gazettetimes.com/news/local/osu-board-votes-to-divest/article_7c828ec8-f5fe-5fa5-a68c-bdfbfe9e10e2.html?platform=hootsuite'",1
"780","Oros Superannuation Fund","Pension Fund","Australia","Full","'https://www.divestinvestaustralia.org.au/commitments'",1
"781","Orp Foundation","Philanthropic Foundation","UK","Full","'http://divestinvest.org/wp-content/uploads/2015/06/PRESS-RELEASE-Divest-Invest-June-Announcement.pdf'",1
"782"," 'https://www.oslo.kommune.no/english/' Oslo Pension &amp; Insurance","Pension Fund","Norway","Coal Only","'http://gofossilfree.org/oslo-divests-from-coal-the-first-capital-city-to-do-so/
 http://climate-energy.blogs.panda.org/2015/03/02/harmful-power-city-oslo-divests-coal/'",1
"783"," 'https://www.opf.no' Oslo Pensjonsforsikring","Government","Norway","Full","'http://cleantechnica.com/2015/10/20/oslo-becomes-first-capital-city-divest-fossil-fuels/'",1
"784"," 'http://www.brookes.ac.uk/' Oxford Brookes University","Educational Institution","UK","Full","'http://blog.peopleandplanet.org/blog/2015/11/10/university-fossil-fuel-divestment-doubles-ahead-of-paris-climate-talks-press-release/'",1
"785"," 'http://www.oxford.anglican.org/' Oxford Diocesan Board of Finance (ODBF)","Faith-based Organization","UK","Coal and Tar Sands Only","'http://www.oxford.anglican.org/diocese-disinvest-fossil-fuels/'",1
"786"," 'http://www.ox.ac.uk/' Oxford University","Educational Institution","UK","Full","'https://gazette.web.ox.ac.uk/files/26march2020-no5272pdf'",1
"787"," 'https://pcginvestments.nl/' PCG Investments","For Profit Corporation","Netherlands","Full","",1
"788"," 'https://pfa.dk/' PFA Pension","Pension Fund","Denmark","Partial","'http://www.theguardian.com/environment/2015/may/05/members-of-three-danish-pension-funds-vote-to-divest-from-fossil-fuels'",1
"789"," 'https://www.pka.dk/' PKA Pension","Pension Fund","Denmark","Partial","'http://www.bloomberg.com/news/articles/2015-05-05/nordic-funds-cut-u-s-oil-coal-investments-on-climate-concern'",1
"790"," 'http://www.lindapacefoundation.org/' Pace Foundation","Philanthropic Foundation","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge/c1t44'",1
"791"," 'http://www.pnwumc.org/' Pacific Northwest Conference of The United Methodist Church ","Faith-based Organization","USA","Full","'http://www.pnwumc.org/news/new-york-and-pacific-northwest-annual-conferences-vote-to-divest-from-fossil-fuels-northwest-united-methodist-foundation-will-also-divest/'",1
"792"," 'http://www.psr.edu/' Pacific School of Religion","Faith-based Organization","USA","Full","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"793"," 'https://www.pncc.govt.nz/' Palmerston North City","Government","New Zeland","Full","'https://www.stuff.co.nz/manawatu-standard/news/99949813/ethical-investment-to-be-the-rule-for-ratepayer-money'",1
"794"," 'http://www.panahpur.org/' Panahpur","Philanthropic Foundation","UK","Full","'http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust'",1
"795"," 'http://parkfoundation.org/' Park Foundation, NY","Philanthropic Foundation","USA","Full","'http://divestinvest.org/philanthropy/#/signatories/park-foundation-inc'",1
"796"," 'https://www.psjc.org/' Park Slope synagogue ","Faith-based Organization","USA","Full","'http://www.brooklyneagle.com/articles/2018/4/18/park-slope-synagogue-cleans-its-portfolio-divesting-chase-bank'",1
"797"," 'http://pfchange.org/' Partnership for Change","Philanthropic Foundation","Norway","","'http://divestinvest.org/philanthropy/signatories/#/signatories'",1
"798"," 'https://www.pafdeso.org/' Partnership for development and Social Organisation(PAFDESO)","NGO","Somalia","Full","'From Divest Invest '",1
"799"," 'http://www.passionisten.nl/' Passionists of Holy Hope Province","Faith-based Organization","Netherlands","Fossil Free","",1
"800"," 'http://www.paxchristi-dueren.de/' Pax Christi Düren","Faith-based Organization","Germany","Fossil Free","",1
"801"," 'https://www.paxchristi.be/' Pax Christi Vlaanderen","Faith-based Organization","Belgium","Full","'https://catholicclimatemovement.global/divest-and-reinvest/'",1
"802","Pax Fund","Philanthropic Foundation","USA","Full","'http://gofossilfree.org/commitments/'",1
"803"," 'www.pax-bank.de' Pax-Bank eG","Faith-based Organization","Germany","Partial","",1
"804","Pazala foundation ","Philanthropic Foundation","USA","Full","",1
"805","Pegranka Superannuation Fund","Pension Fund","Australia","Full","'https://www.divestinvestaustralia.org.au/commitments'",1
"806"," 'https://www.pmb.ox.ac.uk/' Pembroke College","Educational Institution","UK","Full","'https://thetab.com/uk/cambridge/2021/02/18/pembroke-commits-to-full-divestment-from-fossil-fuels-by-2023-147350'",1
"807"," 'https://www.metalektropensioen.nl/' Pensioenfonds Van De Metalektro (PME) ","Pension Fund","Netherlands","Coal Only","'https://www.ai-cio.com/news/netherlands-metal-workers-pension-fund-pulls-investments-coal/'",1
"808"," 'http://www.investmentoffice.com/io/Pension_Funds/Pension_Funds_Switzerland/Public_Pension_Funds/Bernische_Lehrerversicherungskasse_BLVK.php' Pension Fund Bernische Lehrerversicherungskasse BLVK","Pension Fund","Switzerland","Coal Only","'https://docs.google.com/spreadsheets/d/1ITuobt3gONpX45JM4AY9i5DUaCZ3reTRiEm_Bt9_kDY/edit#gid=231791904'",1
"809"," 'https://www.pfzw.nl/' Pensionfonds Zorg en Welzijn (PFZW)","Pension Fund","Netherlands","Partial","'http://www.ipe.com/countries/netherlands/dutch-pension-fund-pfzw-vows-to-halve-carbon-footprint/10010787.fullarticle'",1
"810"," 'http://web.peralta.edu/' Peralta Community College District","Educational Institution","USA","Full","",1
"811","Perpetual Ocean Super Fund","Pension Fund","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987'",1
"812"," 'https://www.pet.cam.ac.uk/' Peterhouse College, Cambridge","Educational Institution","UK","Full","'https://www.varsity.co.uk/news/15101'",1
"813"," 'http://www.pym.org/' Philadelphia Yearly Meeting","Faith-based Organization","USA","Coal Only","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts
 http://www.pym.org/eco-justice-working-group/symbiosis-and-synergy-tending-a-yearly-meeting-ecosystem/'",1
"814"," 'https://phipps.conservatory.org/' Phipps Conservatory and Botanical Gardens","Cultural Institution","USA","Full","'https://phipps.conservatory.org/green-innovation/'",1
"815"," 'http://www.pi-investments.com/' Pi Investments","For Profit Corporation","USA","Full","'http://divestinvest.org/wp-content/uploads/2014/09/Pi-Investments-1-pager.pdf'",1
"816","Pig Shed Trust","Philanthropic Foundation","UK","Full","'http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust'",1
"817"," 'http://www.pilgrimstpaul.org/' Pilgrim Lutheran Church, St. Paul","Faith-based Organization","USA","Full","'http://gofossilfree.org/commitments/'",1
"818"," 'http://www.pitzer.edu/' Pitzer College","Educational Institution","USA","Full","",1
"819"," 'http://www.polden-puckham.org.uk/' Polden Puckham Charitable Foundation","Philanthropic Foundation","UK","Full","'http://divestinvest.org/philanthropy/#/signatories/polden-puckham-charitable-foundation'",1
"820"," 'https://www.polestarresearch.com/' Polestar Capital","For Profit Corporation","Netherlands","Full","'From Divest Invest '",1
"821"," 'http://www.southchurch-uu.org/' Portsmouth South Church Unitarian Universalist, NH","Faith-based Organization","USA","Full","'http://www.seacoastonline.com/article/20130527/NEWS/305270315'",1
"822"," 'www.potencialidades.org.ar' Potencialidades y Centro de Paz Jardín del Corazón","Faith-based Organization","Argentina","Full","",1
"823"," 'https://practicegreenhealth.org/' Practice Greenhealth","Healthcare Institution","USA","Full","'http://www.digitaljournal.com/pr/2551582'",1
"824"," 'https://www.pratt.edu/' Pratt Institute","Educational Institution","USA","","'http://www.rffund.org/divestment'",1
"825"," 'http://www.prenticefoundation.org/' Prentice Foundation","Philanthropic Foundation","USA","Full","'http://www.digitaljournal.com/pr/2551582'",1
"826"," 'http://www.presbyterian.org.nz/' Presbyterian Church of New Zealand","Faith-based Organization","New Zealand","Full","'http://gofossilfree.org/the-presbyterian-church-of-new-zealand-joins-a-chorus-of-faith-based-action-down-under/'",1
"827"," 'http://presbypeacefellowship.org/' Presbyterian Peace Fellowship, NY","Faith-based Organization","USA","Full","'http://presbypeacefellowship.org/content/press-release-presbyterian-peace-fellowship-divests-fossil-fuel-corporations#.VgsWWPlVikq'",1
"828"," 'http://www.prescott.edu/' Prescott College","Educational Institution","USA","Partial","",1
"829"," 'http://www.pbvm.org/where-we-are/england/49/' Presentation Sisters (English Province)","Faith-based Organization","UK","Full","'https://brightnow.org.uk/news/epiphany-declaration-20-christian-organisations-divest/'",1
"830"," 'http://presentationsistersne.ie/' Presentation Sisters, North East Province","Faith-based Organization","Ireland","Full","'https://catholicclimatemovement.global/divest-and-reinvest/'",1
"831"," 'http://presentationsociety.org.au/congregations/queensland/' Presentation Sisters, Queensland","Faith-based Organization","Australia","Full","",1
"832"," 'http://www.pbvm.org/where-we-are/ireland---south-west-province/53/' Presentation Sisters, South West Unit","Faith-based Organization","Ireland","Full","'https://catholicclimatemovement.global/divest-and-reinvest/'",1
"833"," 'http://presentationsociety.org.au/congregations/wagga-wagga/' Presentation Sisters, Wagga Wagga","Faith-based Organization","Australia","Full","'http://www.arrcc.org.au/divestment_announcement_gccm'",1
"834"," 'http://presentationsociety.org.au/2016/10/06/divestment-commitment-to-mark-feast-day-of-st-francis-of-assisi/' Presentation Society of Australia and Papua New Guinea","Faith-based Organization","Australia and Papua New Guinea","","'https://docs.google.com/document/d/1NGFz0NiTR6ylFmmWwHpeyGfCvAI-KhnsR2qQkXsPE4g/edit'",1
"835"," 'http://www.presse-versorgung.de/' Presse-Versorgung","Pension Fund","Germany","Partial","'http://www.presse-versorgung.de/aktuelles/4-3-gesamtverzinsung.html'",1
"836","Pro Civitate Christiana","Faith-based Organization","Italy","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"837","Proclade Perú-Bolivia","Faith-based Organization","Peru","Fossil Free","",1
"838"," 'http://www.ekhn.de/' Protestant Church Hessen-Nassau","Faith-based Organization","Germany","Full","'http://www.ekhn.de/aktuell/detailmagazin/news/klima-im-blick-kein-geld-in-kohle-investieren.html'",1
"839"," 'http://www.anglicanchurchsa.org/' Provincial Synod of the Anglican Church of Southern Africa (ACSA)","Faith-based Organization","South Africa","","'http://www.anglicannews.org/news/2016/09/southern-african-anglicans-seek-fossil-fuel-free-investment-portfolios.aspx'",1
"840","Provincial of The Passionists – Holy Spirit Province Australia, NZ, PNG","Faith-based Organization","Australia","Full","'http://www.arrcc.org.au/divestment_announcement_gccm'",1
"841"," 'http://www.publica.ch/' Publica","Pension Fund","Switzerland","Coal Only","'https://www.publica.ch/en/investments/responsible-investments/esg-risk-analysis/climate-change'",1
"842"," 'http://www.pudseyparish.org.uk/' Pudsey Parish Church (C of E)","Faith-based Organization","UK","Full","'https://brightnow.org.uk/news/epiphany-declaration-20-christian-organisations-divest/'",1
"843"," 'http://www.pymwymic.com/' Put Your Money Where Your Meaning Is Community (Pymwymic)","Philanthropic Foundation","Netherlands","Full","'http://divestinvest.org/wp-content/uploads/2015/06/PRESS-RELEASE-Divest-Invest-June-Announcement.pdf'",1
"844"," 'https://www.qbe.com/' QBE Insurance Group Limited","For Profit Corporation","Ausralia","Coal Only","'https://www.marketforces.org.au/campaigns/insurance/qbe/?fbclid=IwAR35OvVQ9yDmOeivFI2ivIf9Zha7Tr0cybS_cjkcDyZdCorhfxkPW-p9BwI'",1
"845"," 'http://www.quakers.org.au/' Quakers Religious Society of Friends","Faith-based Organization","Australia","Full","'http://c.ymcdn.com/sites/www.quakers.org.au/resource/resmgr/AYM_files/md_divestment.pdf'",1
